"UKey","LatinName","SwedishName","FungiData","ExportFileUKey","CompletedBy","HasPic","PicCount","Signature","FungiGroup","Difficulty","FoodValue1","CookingRequired","FoodValue2","HatFungi","HatSubType","HatSubColor","HatSubGrowth","HatSubDensity","ScaledHat","DottedHat","LinedHat","GroupedGrowth","FootRing","GrowthMethod","Habitat","BodyColor","BodySizeMinimum","BodySizeMaximum","BodyHeightMinimum","BodyHeightMaximum","FootColor","FootSizeMinimum","FootSizeMaximum","MeatColor","VisibleMeatJuice","MeatJuiceColor","SporeColor","SporeWidthMin","SporeWidthMax","SporeHeightMin","SporeHeightMax","SporeProps","SporeNote","Occurence","Season","Smell","Taste","CreatedBy","Timestamp"
"020AAAIFQRBVOOFFGY","Lactarius thejogalus","Småriska","UNCP","","","True","2","SMRSK","Riskor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAAAAAMHXOUUGO"
"020AAAIFQRBVLOHNTD","Lactarius lignyotus","Sotriska","CPLD","","060AAAAAAAAAAAAAAA","True","5","SORSK","Riskor","3","2","1","2","0","0","8121326|16777215|","00110","0","3","3","2","3","3","100000","100000000000000","64|2970508|","30","70","","","64|2970508|","5","15","16777215|2701948|","2","16777215|2701948|","8121326|","9","10","9","10","000001000000010000","","03322003","000000039410","Mild","Mild","","AAAAAAAMHXOUSLS"
"020AAAIFQRBVKYWKCV","Lactarius glyciosmus","Kokosriska","CPLD","","060AAAAAAAAAAAAAAA","True","7","KORSK","Riskor","2","2","1","2","0","0","10343933|16777215|","00110","0","3","3","3","2","3","100000","000000010000000","9605869|10343933|15334654|","20","60","","","13169405|13884664|","4","10","13169405|14081528|","0","16777215|","13169405|16777215|","5","7","7","8","000100000100010000","","33333333","000001469410","Kokos","Skarp","","AAAAAAAMHXPKSTQ"
"020AAAIFQRBSLLRVLT","Collybia butyracea","Mörk nagelskivling","CPLD","","060AAAAAAAAAAAAAAA","True","2","MÖNGS","Nagelskivlingar","2","2","1","2","0","0","13169405|16777215|","01000","0","3","3","2","3","3","100000","100000000000000","1848949|4955603|13169405|","30","80","","","3173843|13169405|","5","15","9022695|16777215|","3","","12642042|16777215|","3","4","6","7","111000000000000000","","33333333","000000139521","Mild","Besk","","AAAAAAAMHXPKQWY"
"020AAAIFQRBXHQGDAO","Phaeohelotium subcarneum","","UNCP","","","True","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAAAAAMHXPKPZN"
"020AAAIFQRBUFCPHDT","Gymnopilus picreus","Mörkfotad bitterskivling","CPLD","","060AAAAAAAAAAAAAAA","True","5","MÖBTS","Bitterskivlingar","2","2","1","2","0","0","8118779|1336250|","01100","0","3","3","2","0","3","010000","100000000000000","3752825|1537232|8500213|","10","40","","","1982647|9153474|","3","5","4219257|10343933|","3","","8501984|","5","6","8","10","001000000100000000","","33333333","000000139541","Mild","BItter","","AAAAAAAMHXPKOZB"
"020AAAIFQRBTJMSDCM","Cortinarius violaceus","Lövviolspindelskivling","CPLD","","060AAAAAAAAAAAAAAA","True","8","LPSPS","Spindelskivlingar","2","2","1","2","0","0","14144487|1848949|","01100","1","1","3","3","3","2","100000","110000000000000","7148105|10129857|16777215|","50","130","","","6684721|10129857|15263453|","10","20","8009845|10129857|14675447|","3","","3173843|8500213|","7","8","11","13","000000100100000000","","33323223","000001259520","Läder","Mild","","AAAAAAAMHXPKKOH"
"020AAAIFQRBUJXRQHG","Humaria hemisphaerica","Luddskål","CPLD","","060AAAAAAAAAAAAAAA","True","4","LUSKL","Skålsvampar","3","2","1","2","1","0","","0","1","3","3","3","1","3","110000","111000000000000","1848949|13169405|16777215|","10","30","5","20","","","","13690602|16777215|","3","","15334654|16777215|","10","14","20","24","101000000100000000","","33333333","000001489310","Okänd","Okänd","","AAAAAAAMHXPKERQ"
"020AAAIFQRBVQZOGIL","Leccinum niveum","Kärrsopp","UNCP","","","True","3","KÄSOP","Soppar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAAAAAMHXPKCND"
"020AAAIFQRCABTTNVQ","Stropharia semiglobata","Gul kragskivling","CPLD","","060AAAAAAAAAAAAAAA","True","6","GUKRS","Kragskivlingar","2","2","1","2","0","0","13359844|3292255|","00100","2","3","3","3","3","0","100000","001000000000000","1537232|10742524|16777215|","10","40","","","10742524|16777215|","1","4","13169405|16777215|","3","","8877731|","8","10","15","20","011000000000000000","","33333333","000124599210","Mild","Mild","","AAAAAAAMHXPJXGD"
